iter	Logloss
0	0.6751068115
1	0.6572486115
2	0.6397961426
3	0.623327713
4	0.6074231339
5	0.591843338
6	0.5764782333
7	0.560500946
8	0.5475452805
9	0.535247345
10	0.5223540497
11	0.5102523422
12	0.4982557678
13	0.4867400742
14	0.4753883362
15	0.4642501068
16	0.453652916
17	0.4443955994
18	0.4352453613
19	0.4254892731
20	0.4163972855
21	0.4082798386
22	0.401259613
23	0.3929767609
24	0.3851873398
25	0.3785050201
26	0.3716178894
27	0.3647969818
28	0.3584346771
29	0.3519288254
30	0.3451537323
31	0.3390394974
32	0.3340919495
33	0.3285296631
34	0.3229586029
35	0.3174083328
36	0.3127000427
37	0.3077456474
38	0.3029661942
39	0.2982284927
40	0.2934952354
41	0.2896293068
42	0.2853525162
43	0.2814679718
44	0.2777749825
45	0.2742768097
46	0.2712238693
47	0.2678858948
48	0.2644934845
49	0.2614622116
50	0.2583611679
51	0.2555155945
52	0.2532640076
53	0.2505878448
54	0.2482781601
55	0.2457602119
56	0.2434752274
57	0.2414383316
58	0.2390907288
59	0.2368475533
60	0.2352933121
61	0.2329857254
62	0.2311263657
63	0.2292852402
64	0.2277364731
65	0.2259844589
66	0.2241869545
67	0.2226370239
68	0.2214749146
69	0.2201155663
70	0.2187178421
71	0.2171622276
72	0.2156037903
73	0.2141173363
74	0.2129954147
75	0.2116056252
76	0.210437336
77	0.2093359184
78	0.2081232071
79	0.2069638443
80	0.2058161163
81	0.204587326
82	0.2036581802
83	0.2023962402
84	0.201319828
85	0.2003543854
86	0.1994097137
87	0.1987968826
88	0.1979800797
89	0.1971539688
90	0.196156826
91	0.1951490211
92	0.1942858505
93	0.1934609985
94	0.1929896545
95	0.1924351311
96	0.1919309998
97	0.1912479591
98	0.190621109
99	0.1900079727
100	0.1893232727
101	0.1886582756
102	0.1879529572
103	0.1872365761
104	0.1865477753
105	0.1860201263
106	0.1852780533
107	0.1846448898
108	0.1842980003
109	0.1836576843
110	0.1830777359
111	0.1827155876
112	0.1822729874
113	0.181753006
114	0.1812948227
115	0.1809007263
116	0.1804433823
117	0.180040741
118	0.1795135689
119	0.1791234207
120	0.1788214111
121	0.1785020256
122	0.178269043
123	0.1779644394
124	0.1777343369
125	0.1774330902
126	0.177146492
127	0.1768041611
128	0.1763359451
129	0.1759548187
130	0.1756283951
131	0.1753352737
132	0.1750729752
133	0.1748168945
134	0.1744833946
135	0.1741114235
136	0.1738063431
137	0.1735968018
138	0.1734024429
139	0.1730767822
140	0.172834816
141	0.1724942017
142	0.1722038078
143	0.171916523
144	0.1716891861
145	0.1715097046
146	0.1711965179
147	0.1709786797
148	0.170736866
149	0.1705314064
150	0.1703311539
151	0.1700779724
152	0.1698547554
153	0.1696933746
154	0.1694842529
155	0.1693145561
156	0.1692135239
157	0.1689912033
158	0.1689105988
159	0.1686712456
160	0.1684347153
161	0.1682165527
162	0.1680991745
163	0.167882061
164	0.1676879501
165	0.1675665474
166	0.1674002075
167	0.1672397041
168	0.1671063995
169	0.1669454956
170	0.1667772675
171	0.1665960693
172	0.1664790154
173	0.1663179398
174	0.1661545563
175	0.166085701
176	0.165962944
177	0.1657901001
178	0.1656856155
179	0.1655056763
180	0.1653173065
181	0.1652366066
182	0.1650493622
183	0.1649500275
184	0.1647649384
185	0.1646337891
186	0.1645210457
187	0.1644607353
188	0.1643871689
189	0.1642361069
190	0.1641680145
191	0.1640756035
192	0.1639657021
193	0.1638871765
194	0.1638173676
195	0.1637108803
196	0.163653183
197	0.1635583115
198	0.1634698868
199	0.1634086037
200	0.1633513641
201	0.1632469177
202	0.1631445313
203	0.1630828094
204	0.1630309677
205	0.1629690933
206	0.1629163361
207	0.1628260803
208	0.1627265358
209	0.1625703621
210	0.1624609375
211	0.1624187851
212	0.1623677826
213	0.1622541046
214	0.1622060013
215	0.1620708466
216	0.1620220947
217	0.1619892883
218	0.1618830299
219	0.1618145752
220	0.1617649078
221	0.1616558647
222	0.1615711021
223	0.1615429687
224	0.1614520264
225	0.1614139557
226	0.1613233566
227	0.161217308
228	0.1611636162
229	0.1610939789
230	0.1610466766
231	0.1609970474
232	0.1609342957
233	0.1609146881
234	0.1608407784
235	0.1607563019
236	0.1606933594
237	0.1605873108
238	0.1605255699
239	0.1604715347
240	0.1604400635
241	0.1603742218
242	0.1603304863
243	0.1602187729
244	0.1601533508
245	0.160117054
246	0.16002285
247	0.1599924564
248	0.1599723721
249	0.1599184895
250	0.1598743916
251	0.1598105717
252	0.1597728062
253	0.1597160435
254	0.1596397018
255	0.1595989037
256	0.1595450974
257	0.1595244598
258	0.1594661522
259	0.1594414234
260	0.1594231415
261	0.1593785191
262	0.1592797565
263	0.1592668533
264	0.1592482567
265	0.1592174911
266	0.1591826057
267	0.1591746426
268	0.1591400337
269	0.1591249752
270	0.1590773392
271	0.1590048218
272	0.1589393234
273	0.1588328075
274	0.1587977886
275	0.1587547588
276	0.1587255669
277	0.1587107277
278	0.1586368656
279	0.158581171
280	0.1585000992
281	0.1584824944
282	0.1584557247
283	0.1584454918
284	0.1583852386
285	0.1583561611
286	0.1583512688
287	0.1583243084
288	0.15827384
289	0.1582408714
290	0.1581909847
291	0.1581231976
292	0.15810956
293	0.1580403709
294	0.1580026627
295	0.1579636765
296	0.157940464
297	0.1578912067
298	0.1578681278
299	0.1578501606
300	0.157810421
301	0.1577799606
302	0.1577425385
303	0.1576905251
304	0.1576535416
305	0.1575881386
306	0.1575803185
307	0.1575487709
308	0.157513504
309	0.1574838924
310	0.1574554825
311	0.1574059582
312	0.157376585
313	0.1573588276
314	0.1573152637
315	0.1573016739
316	0.157264967
317	0.1572202492
318	0.1572115517
319	0.1571742153
320	0.1571633911
321	0.157161293
322	0.157123661
323	0.1570982456
324	0.1570735741
325	0.1570488071
326	0.1570451164
327	0.157033453
328	0.1570193863
329	0.1569827938
330	0.1569494438
331	0.1569372845
332	0.156913538
333	0.1568566132
334	0.1568416309
335	0.1568085194
336	0.1568028545
337	0.1567875481
338	0.1567774582
339	0.156687746
340	0.1566679382
341	0.1566583443
